team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total
1102, 6.27, 8.15, 13.7, 16.36, 6.7, 55.8
111, 7.55, 11.31, 14.07, 25.09, 9.35, 70.79
118, 8.15, 9.62, 12.28, 21.76, 9.99, 67.78
1189, 6.93, 8.08, 8.8, 18.97, 7.84, 51.94
120, 7.02, 4.54, 8.6, 12.02, 8.93, 44.94
1481, 6.15, 6.38, 11.81, 11.7, 8.52, 46.11
1561, 4.92, 6.11, 18.35, 6.71, 8.69, 50.35
1574, 5.44, 9, 11.58, 17.99, 7.89, 55.25
1577, 4.83, 8.08, 15.75, 24.06, 9.72, 72.31
1619, 7.83, 9.04, 13.07, 21.91, 8.7, 65.71
1700, 5.13, 2.42, 3.75, 12.53, 5.02, 35.68
1768, 5.75, 8.99, 13.81, 20.91, 8.31, 63.34
1884, 3.22, 2.57, 6.82, 6.62, 4.99, 25.46
2056, 6.51, 12.79, 14.7, 32.47, 8.14, 83.66
2106, 4.83, 6.82, 9.37, 15.86, 8.6, 46.6
2202, 6.57, 3.92, 9.2, 9.94, 9.76, 45.41
2220, 5.37, 5.64, 13.87, 6, 6.15, 38.25
2457, 5.41, 3.43, 8.33, 5.09, 8.74, 32.75
2468, 9.23, 10.75, 15.85, 20.9, 8.06, 72.28
2506, 4.75, 5.79, 7.07, 9.42, 6.9, 33.11
254, 7.05, 11.58, 16.87, 25.25, 9.3, 77.18
2582, 4.36, 7.72, 10.13, 18, 9.66, 52.13
2607, 4.77, 6.12, 15.53, 11.93, 9.54, 53.01
2687, 6.13, 7.83, 13.11, 19.11, 7.3, 61.25
27, 4.18, 6.9, 10.41, 18.29, 8.41, 49.7
2847, 7.96, 7.6, 10.52, 15.14, 5.13, 45.96
2875, 4, 4.68, 8.5, 12.46, 7.04, 37.15
2905, 3.65, 1.03, 5.78, 1.44, 5.33, 18.33
3015, 5.58, 8.95, 11.83, 22.48, 8.69, 61.16
3061, 5.97, 5.7, 11.93, 12.23, 9.64, 50.82
3130, 4.45, 5.18, 11.97, 7.78, 6.23, 39.4
3142, 7.46, 5.02, 11.12, 8.14, 7.29, 43.75
324, 4.69, 5.26, 9.99, 17.53, 9.11, 52.08
3256, 4.34, 3.68, 4.91, 8.56, 4.4, 25.71
33, 6.4, 8.96, 14.1, 18.35, 8.63, 61.15
3322, 7.02, 4.55, 7.3, 11.11, 8.95, 42.61
3459, 3.39, 2.92, 6.62, 3.94, 4.51, 21.58
3663, 6.76, 7.07, 11.53, 18.73, 8.29, 57.09
4, 4.56, 4.47, 6.37, 8.83, 7.29, 33.69
4028, 7.11, 10.66, 14.38, 21.23, 9.69, 68.69
4362, 5.92, 9.52, 13.66, 20.36, 7.42, 61.25
4373, 7.82, 9.27, 11.27, 15.98, 6.8, 51.12
4476, 7.55, 6.77, 11.61, 16.82, 8.81, 55.01
4598, 2.76, 4.93, 9.24, 7.12, 6.82, 29.35
4903, 7.66, 7.59, 11.71, 20.08, 6.42, 58.49
5045, 2.86, 1.79, 4.25, 1.51, 1.88, 11.52
5232, 5.73, 2.36, 6.66, 20.2, 10.59, 52.82
548, 5.13, 5.29, 8.55, 15.36, 8.04, 46.51
5635, 5.84, 6.12, 8.01, 9.05, 7.2, 36.09
5809, 1.47, 4.43, 6.58, 10.76, 6.17, 29.64
5993, 2.13, 5.83, 8.23, 7.56, 3.38, 23.63
6002, 5.87, 8.48, 11.25, 14.41, 8.36, 51.22
6036, 5.1, 11.41, 18, 24.14, 7.77, 73.67
6078, 6.17, 6.32, 11.07, 17.21, 6.02, 50.82
624, 6.65, 9.17, 13.33, 19.35, 10.42, 63.31
6328, 7.14, 14.14, 13.18, 21.93, 5.78, 60.18
687, 6.58, 7.08, 10.51, 20.94, 8.35, 58.67
70, 6.58, 8.49, 11.15, 20.12, 10.53, 58.7
7174, 7.26, 6.1, 8.66, 13.69, 8.91, 46.78
7211, 6.14, 10.33, 11.34, 19.88, 7.34, 55.99
7444, 5.78, 6.19, 10.31, 11.01, 6.81, 39.19
7563, 4.89, 5.39, 7.05, 14.99, 8.39, 41.78
78, 8.71, 6.69, 9.17, 16.15, 9.81, 53.55
8085, 5.06, 6.4, 11.43, 19.03, 8.22, 56.53
8159, 4.07, 2.92, 6.03, 5.35, 5.01, 22.68
834, 6.66, 8.02, 12.45, 14.35, 7.41, 50.66
862, 5.6, 5.68, 11.5, 14.68, 9.74, 50.22
8724, 6.03, 8.27, 9.44, 18.11, 7.53, 50.58
8729, 6.82, 3.6, 9.53, 3.48, 7.62, 31.57
9038, 3.77, 5.52, 6.93, 14.94, 4, 37.82
9059, 4.85, 1.44, 2.85, 4.14, 3.82, 17.49
9067, 6.39, 5.18, 7.3, 7.07, 6.5, 32.4
9101, 8.23, 1.79, 11.97, 3.91, 7.73, 40.23
9134, 4.63, 4.49, 5.41, 8.11, 5.72, 26.43
9148, 3.12, 1.83, 3.87, 6.43, 2.91, 17.91
9180, 2.94, 3.35, 9.18, 0.15, 7.87, 23.62
972, 5.18, 9.22, 14.09, 19.92, 8.17, 62.89
