team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total
103, 7.6, 4.99, 14.68, 16.68, 8.62, 62.04
1114, 5.5, 7.73, 14.46, 21.63, 7.99, 65.95
1165, 6.13, 4.09, 9.07, 1.51, 4.54, 23.23
1318, 7.26, 8.86, 12.61, 24.15, 7.21, 65.68
157, 6.73, 5.26, 7.11, 8.54, 5.19, 31.77
1591, 6.45, 10.87, 12.58, 21.55, 8.88, 63.75
1622, 5.72, 5.89, 7.79, 15.3, 3.7, 41.84
1678, 7.06, 11.38, 17.54, 23.63, 11.69, 78.53
1690, 7.11, 9.74, 14.68, 21.54, 8.39, 67.41
1701, 6.36, 7.24, 13.84, 16.54, 9.39, 56.44
1708, 2.91, 3.61, 10.33, 6.92, 9.13, 32.85
1902, 4.57, 4.73, 9.1, 10.24, 4.89, 33.93
2194, 5.49, 4.46, 9.49, 12.48, 10.56, 47.43
2337, 5.82, 7.71, 11.3, 20.99, 8.55, 59.28
2383, 3.53, 6.18, 9.47, 16.24, 5.68, 42.69
2551, 5.53, 5.52, 10.03, 15.32, 7.75, 47.15
2614, 7.53, 7.68, 9.89, 17.71, 6.05, 48.24
2630, 5.81, 6, 11.43, 18.99, 7.83, 55.24
2714, 6.36, 7.44, 9.96, 19.66, 8.35, 54.23
2771, 6.62, 5.47, 5.39, 11.78, 5.28, 35.36
2830, 4.84, 6.42, 10.1, 11.96, 7.37, 39.8
2834, 7.04, 6.59, 12.51, 14.09, 6.58, 50.4
2881, 5.54, 6.01, 10.44, 21.49, 7.3, 54.61
2910, 6.58, 11.21, 16.31, 25.77, 8.62, 74.56
3005, 6.59, 12.1, 14.24, 28.02, 7.16, 75.65
3042, 5.58, 3.32, 5.37, 6.96, 8.9, 29.83
3229, 4.59, 4.21, 10.06, 6.35, 5.83, 32.24
3467, 6.69, 10.01, 15.93, 22.38, 8.21, 70.11
3476, 5.55, 10.73, 13.2, 22.8, 7.68, 65.85
3534, 8.04, 7.94, 9.44, 15.62, 6.18, 50.22
3536, 4.11, 7.85, 10.44, 17.03, 6.98, 48.51
3539, 2.88, 8.77, 11.17, 19.2, 9.52, 51.62
3603, 6.51, 2.52, 3.7, 11.42, 6.59, 35.18
3996, 4.59, 8.88, 8.76, 14.39, 10.6, 44.4
4009, 5.26, 5.65, 9.36, 15.27, 6.15, 43.28
401, 5.75, 8.08, 13.78, 21.35, 3.46, 56.6
4381, 6.23, 11.43, 14.37, 20.08, 7.44, 62
4415, 8.02, 8.94, 11.39, 17.63, 7.36, 55.56
4422, 5.7, 7.53, 12.53, 17.54, 8.45, 55.21
4451, 8.72, 6.34, 11.65, 17.79, 8.5, 58.02
4481, 5.1, 9.73, 14.64, 18.81, 7.09, 59.89
4571, 5.28, 2.4, 4.5, 9.49, 8.41, 32.07
461, 7.74, 6.51, 12.83, 20.81, 7.08, 62.56
4786, 8.42, 7.59, 11.14, 16.49, 7.99, 54.06
5010, 5.91, 6.11, 9.59, 19.15, 8.63, 55.14
5166, 6.52, 10.79, 12.22, 24, 7.67, 64.08
5199, 5.76, 7.2, 11.27, 21.36, 8.33, 57.89
5427, 2.71, 7.23, 8.63, 16.33, 7.97, 43.17
5557, 5.62, 3.48, 10.13, 4.34, 7.37, 35.87
5586, 7.15, 4.22, 14.9, 5.49, 7.99, 46.99
5801, 6.99, 3.27, 4.51, 17.65, 9.24, 46.89
59, 5.33, 5.86, 10.87, 18.7, 8.93, 57.52
5985, 5.57, 4.8, 7.45, 10.16, 5.13, 34.71
5987, 6.51, 7.74, 12.5, 20.85, 7.86, 59.7
599, 8, 5.28, 10.45, 14.68, 7.48, 48.61
67, 6.25, 10.57, 16.27, 20.75, 7.37, 65.64
6702, 3.8, 3.8, 7.74, 4.5, 3.96, 22.81
6722, 9.81, 5.45, 11.06, 14.72, 7.37, 55.55
6800, 5.58, 6.45, 13.12, 16.69, 8.62, 57.84
702, 4.03, 1.65, 8.24, 4.11, 5.39, 24.01
7197, 4.61, 4.33, 8.58, 17.36, 8.13, 47.6
7258, 6.7, 3.79, 10.77, 6.04, 8.26, 40.38
7451, 5, 6.68, 10.27, 9.92, 5.69, 38.83
7461, 5.41, 9.17, 12.07, 18.56, 8.54, 56.49
7657, 7.28, 6.35, 8.32, 16.13, 7.32, 47.34
8013, 6.73, 7.12, 10.49, 19.53, 8.01, 55.63
8033, 6.2, 5.75, 13.78, 17.95, 8.72, 61
836, 6.23, 7.23, 9.03, 17.5, 8.05, 51.89
9031, 4.57, 1.07, 3.34, 4.42, 6.62, 21.82
9072, 4.28, 2.76, 5.28, 2.65, 6.29, 19.85
9097, 2.42, 0.42, 4.37, 1.17, 3.34, 11.19
9105, 6.71, 4.85, 7.54, 16.91, 7.98, 47
9120, 2.67, 0.61, 4.64, 2.6, 5.91, 17.99
9128, 5.83, 6.7, 12.62, 18.59, 5.12, 54.67
9138, 3.78, 2.5, 3.68, 6.28, 7.8, 25.39
948, 6.9, 5.82, 15.48, 9.08, 8.31, 50.35
968, 5.35, 4.17, 9.15, 8.47, 7.95, 38.41
