team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total
1072, 5.98, 5.8, 9.52, 9.64, 7.09, 39.99
1218, 4.45, 8.07, 10.36, 18.36, 6.68, 48.94
1241, 5.3, 8.56, 10.61, 21.49, 8.04, 56.56
135, 5.11, 5.69, 10.88, 12.44, 7.13, 44.35
1414, 7.37, 7.17, 11.33, 17.8, 5.88, 53.49
1506, 5.96, 8.59, 12.36, 20.74, 8.5, 58.39
1599, 7.91, 5.67, 9.91, 14.58, 9.04, 49.07
1683, 6.13, 10.62, 10.94, 19.79, 9.12, 56.83
1745, 5.33, 5.41, 11.81, 18.08, 8.65, 55.33
176, 5.57, 11.38, 15.35, 22.78, 8.59, 68.39
1923, 8.55, 4.68, 19.92, 9.65, 10.12, 62.62
1983, 6.47, 6.7, 6.5, 14.36, 7.51, 43.07
2230, 3.65, 8.74, 7.92, 19.8, 7.31, 48.08
2240, 5.52, 5.12, 8.67, 19.87, 9.97, 53.88
2399, 7.96, 7.01, 9.35, 15.92, 8.98, 52
2403, 5.73, 6.89, 13.8, 4.8, 8.58, 40.01
2489, 3.18, 1.85, 10.66, 2.64, 6.51, 30.15
25, 5.82, 3.71, 11.32, 16.98, 7.69, 53.24
2539, 6.25, 9.08, 14.62, 19.89, 10.01, 66.84
2635, 5.26, 3.74, 5.59, 8.7, 6.6, 28.97
2638, 5.2, 5.73, 9.08, 13.47, 6.89, 42.08
2656, 4.04, 3.42, 9.79, 2.58, 8.45, 30.38
2974, 6.64, 9.26, 11.92, 23.06, 6.97, 62.34
316, 6.44, 5.53, 12.87, 16.92, 10.94, 58.26
319, 6.69, 9.37, 13.2, 18.62, 7.97, 59.7
3374, 5.02, 6.08, 6.43, 14, 7.07, 38.35
360, 4.63, 8.38, 9.24, 17.95, 7.23, 49.58
3604, 6.37, 8.17, 15.43, 11.73, 7.09, 49.72
3620, 5.21, 7.69, 11.09, 21.56, 7.36, 56.65
3655, 6.47, 8.09, 13.2, 20.57, 8.48, 61.82
3668, 5.82, 6.15, 11.25, 18.97, 7.12, 54.47
3679, 5.84, 5.57, 13.77, 6.11, 9.95, 42.23
3683, 4.4, 9.04, 13.14, 23.06, 6.59, 61.47
384, 7.59, 7.41, 12.05, 21.3, 7.14, 59.39
3937, 7.64, 8.05, 13.82, 18.43, 7.11, 62.18
4020, 8.66, 6.4, 8.63, 18.59, 6.73, 52.58
4039, 7.16, 8.23, 13.35, 20.72, 9.17, 63.78
4122, 6.27, 4.46, 8.67, 10.89, 8.4, 39.49
4175, 3.57, 4.99, 7.58, 6.85, 4.21, 27.12
4561, 6.88, 6.38, 11.05, 13.81, 8.54, 49.61
469, 6.78, 6.27, 9.19, 18.22, 8.78, 53.82
4693, 2.73, 2.59, 7.87, 6.86, 4.09, 26.15
4779, 6.23, 6.67, 9.21, 16.11, 6.13, 47.01
5024, 8.43, 5.51, 8.87, 13.99, 8.02, 49.73
5089, 5.28, 4.96, 10.71, 3.53, 5.33, 29.33
5152, 7.17, 6.35, 10.47, 17.27, 10.69, 54.56
5409, 7.69, 5.09, 7.2, 19.45, 8.7, 53.73
5411, 5.41, 7.19, 9.82, 18.59, 8.23, 53
5419, 6.46, 6.18, 11.3, 11.11, 7.01, 46.14
5505, 5.8, 6.96, 8.55, 18.45, 5.95, 45.89
5618, 4.46, 4.63, 6.11, 7.42, 10.74, 31.2
5653, 4.07, 4.77, 13.68, 2.88, 5.92, 33.86
587, 7.42, 8.69, 10.26, 21.01, 6.17, 55.5
5895, 7.24, 7.19, 11.63, 23.74, 7.17, 63.67
5913, 4.75, 8.51, 10.8, 21.15, 6.77, 54.05
597, 5.16, 5.21, 12.55, 8.57, 9.39, 44.1
5988, 3.19, 2.18, 6, 2.17, 5.5, 18.8
604, 5.4, 8.17, 9.24, 23.03, 10.05, 62.89
6090, 9.21, 7.44, 10.44, 21.7, 10.38, 63.34
6352, 5.72, 5.76, 9.35, 7.15, 6.87, 32.89
6420, 3.46, 4.29, 7.62, 14.38, 8.39, 43.04
6672, 4.33, 7.71, 15.85, 19.76, 8.51, 64.83
6823, 6.6, 5.98, 9.4, 17.03, 7.17, 50.09
6865, 4.69, 6.56, 9.43, 6.79, 3.95, 29.52
694, 7.78, 7.11, 11.24, 21.16, 8.96, 61.18
7018, 3.89, 4.04, 8.14, 4.48, 3.38, 23.06
8576, 6.2, 5.37, 13.75, 5.56, 6.97, 41.11
9007, 3.52, 1.81, 6.43, 5.75, 4.27, 25.23
9008, 4.02, 5.23, 5.4, 7.72, 6.29, 26.15
9022, 4.52, 4.85, 6.84, 12.59, 3.9, 33.54
9075, 4.66, 1.83, 7.42, 0.86, 6.68, 24.58
9076, 3.79, 2.94, 5.96, 4.91, 2.12, 19.77
910, 4.88, 7.44, 9.66, 15.46, 7.8, 46.56
9125, 4.85, 6.4, 9.33, 12.28, 8.26, 40.99
9244, 4.91, 1.87, 3.56, 4.67, 2.03, 17.95
930, 6.68, 10.16, 15.54, 23.57, 9.35, 71.79
987, 6.63, 8.53, 10.95, 23.24, 6.53, 61.19
