team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total
1023, 5.94, 4.71, 9.54, 15.53, 7.91, 50.83
11, 7.09, 8.03, 12.19, 16.4, 7.97, 54.95
1123, 3.1, 8.52, 13.1, 16.12, 7.2, 51.49
1156, 8.26, 3.99, 8.19, 13.56, 7.96, 45.17
1466, 8.93, 6.99, 9.69, 12.94, 7.3, 47.62
1468, 3.66, 6.23, 9.2, 21.27, 8.97, 52.06
1501, 6.85, 8.4, 9.81, 19.18, 7.5, 53.32
1538, 6.29, 9.08, 9.6, 25, 8.99, 65.02
1629, 7.01, 7.53, 10.83, 16.68, 5.8, 49.17
1746, 5.49, 7.54, 12.99, 18.66, 8.93, 58.27
1757, 6.51, 8.5, 10.53, 20.97, 9.79, 59.11
177, 5.08, 6.07, 12.02, 20.81, 8.44, 58.35
179, 4.76, 5.85, 9.28, 23.64, 6.98, 56.15
1816, 8.14, 6.05, 7.6, 14.78, 6.14, 43.28
1836, 6.58, 4.21, 10.17, 3.53, 7.43, 35.28
195, 7.18, 8.63, 12.56, 23.75, 7.79, 65.82
2642, 7.68, 7.5, 11.77, 18.05, 8.01, 55.96
2960, 6.18, 6.52, 10.02, 12.09, 4.81, 40.33
2992, 7.26, 7.14, 10.2, 19.36, 8.42, 56.75
3003, 7.11, 5.77, 6.07, 15.59, 8.13, 42.5
3039, 5.98, 10.28, 13.22, 20.73, 7.82, 63.33
3161, 5.36, 5.6, 9.69, 14.61, 6.81, 47.35
3184, 7.02, 8.44, 10.77, 23.37, 6.61, 59.97
3218, 5.58, 8.83, 15.1, 17.35, 11.89, 60.96
3478, 8.18, 4.96, 8.49, 17.79, 8.25, 52.1
3538, 7.48, 7.79, 11.75, 27.02, 10.57, 72.21
3572, 4.19, 5.57, 12.09, 13.08, 8.71, 46.51
3767, 7.18, 6, 9.75, 15.47, 7.13, 47.68
3932, 3.54, 5.12, 9.35, 16.42, 6.6, 45.48
3940, 6.49, 5.63, 11.96, 18.21, 6.96, 55.55
4069, 4.7, 8.18, 9.2, 19.22, 7.92, 50.17
4099, 3.85, 7.58, 11.81, 14.48, 7.7, 47.73
4112, 4.38, 3.75, 5.53, 7.56, 7.61, 29.29
4143, 7.05, 9.46, 12.03, 21.3, 10.59, 63.86
4145, 4.8, 4.62, 9.42, 18.28, 7.95, 49.67
4329, 6.94, 6.79, 9.84, 13.86, 9.66, 50.19
4419, 6, 4.84, 10.26, 13.52, 6.41, 43.98
4522, 5.31, 9.74, 14.08, 24.5, 11.41, 68.82
4663, 5.82, 4.71, 7.69, 14.69, 7.39, 41.36
4905, 5.57, 6.07, 8.13, 11.24, 7.72, 38.4
4909, 6.66, 8.28, 10.39, 19.65, 8.97, 57.41
494, 8.11, 8.77, 11.52, 22.18, 8.41, 62.3
4944, 6.11, 5.63, 9.23, 14.99, 8.29, 45.39
5006, 4.83, 5.44, 10.34, 15.37, 8.69, 48.24
503, 5.28, 6.91, 13, 12.27, 8.67, 48.25
5135, 6.05, 6.82, 9.95, 16.22, 9.35, 51.64
5172, 1.92, 2.28, 9.96, 6.55, 8.89, 33.86
5274, 6.96, 2.92, 9.37, 7.32, 7.72, 37.46
5338, 3.85, 4.43, 7.42, 17.81, 4.44, 41.09
5553, 3.13, 2.36, 9.34, 5, 6.54, 29.02
5665, 6.4, 5.87, 9.4, 7.48, 9.7, 39.32
5804, 8.3, 6.84, 11.85, 18.33, 8.5, 58.7
5990, 5.59, 8.55, 11.64, 17.94, 4.78, 50.75
6431, 2.21, 0.26, 4.29, -1.55, 2.32, 5.13
6606, 4.92, -0.59, 4.85, 2.57, 3.52, 18.06
6657, 4.21, 3.36, 10.95, 4.47, 6.02, 31.61
6817, 4.52, 3.5, 4.86, 3.05, 5.2, 18.85
6909, 3.78, 4.01, 6.28, 2.84, 3.84, 19.34
7072, 6.73, 3.93, 10.53, 5.16, 8.13, 35.25
7285, 7.66, 6.79, 9.9, 18.57, 6.34, 53.74
7428, 4.53, 4.71, 8.62, 6.05, 4.61, 28.19
7617, 8.35, 5.04, 9.86, 17.75, 6.18, 52.4
8015, 2.24, 2.35, 4.86, 2.42, 4.11, 16.13
8016, 2.16, 3.77, 7.54, 9.71, 4.05, 29.58
857, 4.92, 8.66, 9.24, 20.08, 7.54, 51.92
8592, 6.12, 9.19, 13.96, 18.89, 5.96, 57.47
8717, 3.15, 4.64, 9.82, 4.74, 4.03, 26.15
8808, 5.59, 3.69, 11.68, 6.82, 6.89, 35.1
8847, 4.75, 3.09, 12.01, 5.03, 8.71, 38.21
900, 8.33, 6.74, 11.31, 15.98, 8.63, 54.48
9023, 3.9, 5.65, 8.5, 5.35, 5.48, 27.09
9030, 1.68, 2.58, 9.24, 3.95, 4.47, 22.53
9062, 4.89, 2.34, 5.8, 1.81, 4.15, 19.24
9084, 7.45, 4.87, 11.07, 12.91, 8.64, 49.91
9126, 2.74, 3.74, 9.37, 4.14, 4.56, 22.72
9140, 8.16, 5.48, 9.82, 15.21, 6.65, 47.83
955, 4.53, 7.86, 9.82, 19.48, 8.78, 53.27
