team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total
1100, 7.01, 7.14, 9.46, 17.81, 9.55, 53.14
115, 8.2, 4.99, 7.96, 19.09, 7.65, 53.24
1403, 5.56, 5.48, 10.76, 21.62, 8.41, 57.66
148, 5.52, 7.04, 11.19, 24.36, 9.23, 66.1
1756, 8.07, 7.28, 13.45, 23.25, 8.57, 68.47
1771, 6.73, 12.44, 10.94, 20.09, 7.33, 55.05
180, 8.98, 7.72, 10.63, 18.68, 8.11, 57.84
1868, 5.77, 11.26, 12.62, 19.79, 9.51, 59.21
2199, 8.44, 6.05, 9.67, 16.92, 8.01, 52.84
2370, 6.36, 5.22, 12.09, 16.98, 8.09, 52.09
2451, 4.19, 5.26, 11.48, 17.7, 8.44, 52.85
2637, 4.88, 2.34, 8.26, 7.84, 7.58, 35.56
2791, 6.4, 7.19, 8.94, 18.11, 4.61, 46.59
2945, 3.76, 4.51, 11.36, 2.9, 8.87, 33.93
3008, 5.14, 2.41, 7.37, 6.83, 6.13, 32.38
302, 6.72, 6.36, 10.45, 21.26, 10.79, 60.71
3132, 6.81, 5.79, 7.96, 11.07, 8.03, 39.97
325, 6.91, 8.17, 10.28, 19.95, 7.13, 55.34
3284, 5.04, 3.07, 6.74, 7.74, 6.78, 31.38
3310, 6.5, 6.7, 13.22, 20.63, 7.72, 61.08
333, 6.22, 6.97, 9.91, 13.66, 8.98, 46.43
3341, 2.95, 4.85, 6.48, 5.1, 1.78, 19.38
343, 5.19, 7.38, 12.89, 14.8, 8.72, 51.95
3489, 4.2, 3.27, 6.15, 7.33, 6.77, 28.74
3526, 3.19, 0.66, 6.88, 4.3, 3.51, 22.99
3616, 5.82, 4.56, 8.67, 11.27, 8.67, 42.38
3749, 4.59, 5.11, 7.57, 12.73, 6.96, 39.09
3847, 7.63, 5.63, 11.1, 18.99, 7.05, 55.46
399, 5.87, 5.26, 12.57, 4.31, 5.28, 33.06
3990, 7.95, 7.24, 9.4, 18.51, 8.28, 54.25
4003, 6.76, 7.7, 8.61, 19.07, 5.17, 51.63
4010, 6.91, 6.22, 17.86, 5.32, 9.46, 52.58
4131, 7.56, 6.95, 11.4, 17.76, 7.18, 54.6
4253, 5.52, 7.86, 9.52, 19.21, 9.65, 54.2
4270, 4.72, 6.7, 11.26, 19.51, 11.27, 59.31
4392, 3.67, 9.53, 10.42, 18.1, 6.85, 48.06
449, 6.26, 7.22, 9.07, 18.27, 7.89, 51.89
4738, 6.62, 7.85, 10.3, 22.89, 6.66, 59.89
4766, 6.22, 4.63, 15.33, 7.27, 9.54, 48.73
4788, 3.09, 3.62, 6.39, 12.94, 3.8, 31.42
5414, 6.96, 5.39, 13.83, 14.27, 8.37, 54.51
5687, 7.91, 8.2, 11.67, 21.51, 5.63, 57.86
5727, 5.86, 9.58, 14.43, 18.08, 6.95, 60.19
5901, 6.58, 6.21, 8.48, 15.16, 10.61, 48.72
5907, 8.92, 6.53, 9.34, 18, 7.7, 54.12
5940, 6.68, 13.05, 16.89, 23.46, 8.83, 75.1
6329, 6.65, 10.84, 13.75, 27.38, 9.99, 76.99
6348, 5.99, 5.8, 8.37, 9.45, 9.1, 36.47
6358, 3.8, 2.65, 2.69, 8.23, 8.07, 25.61
6413, 3.9, 7.05, 6, 12.59, 7.03, 36.45
649, 6.55, 7.96, 10.04, 17.9, 7.05, 52
6586, 2.67, 3.48, 6.57, 3.19, 6.8, 21.58
6647, 4.73, 4.2, 7.36, 6.64, 7.16, 31.74
6652, 3.82, 2.19, 5, 3.66, 4.15, 18.34
6868, 3.05, 2.75, 8.53, 6.58, 6.43, 29.34
6995, 5.58, 6.17, 7.83, 18.9, 6.14, 45.76
6998, 4.55, 1.94, 6.56, 3.13, 6.06, 22.63
7021, 5.84, 7.76, 10.51, 21.87, 9.86, 59.11
7042, 5.11, 6.51, 7.17, 7.14, 6.71, 29.94
7220, 7, 5.83, 9.49, 14.95, 7.77, 47.37
7534, 2.74, 1.07, 6.6, 2.9, 6.82, 22.97
7565, 5.28, 6.36, 10.31, 13.64, 5.54, 43.04
7890, 8.78, 7.08, 9.65, 20.82, 8.69, 58.29
8046, 6.73, 7.26, 10.88, 16.85, 9.63, 54.48
8177, 5.67, 7.57, 11.62, 21.23, 7.16, 58.01
818, 8.08, 7.68, 11.22, 18.08, 6.92, 56.57
8393, 6.86, 6.19, 7.77, 12.9, 6.17, 40.89
840, 5, 4.23, 4.26, 10.51, 5.18, 28.67
8426, 6.41, 6.67, 11.55, 14.95, 8.84, 49.31
8711, 4.54, 5.04, 9.27, 5.09, 1.57, 23.33
8739, 5.06, 3.67, 4.99, 8.88, 6.46, 29.85
9015, 6.17, 5.25, 8.19, 9.09, 7.8, 36.89
9016, 4.29, 5.94, 9.39, 7.08, 3.69, 29.84
9019, 3.75, -0.22, 3.11, 1.49, 3.36, 12.7
9085, 4.56, 3.03, 7.22, 3.02, 4.47, 20.59
9153, 0.74, 0.92, 3.64, 4.56, 4.04, 15.44
9168, 5.24, 2.62, 7.59, 4, 5.43, 25.11
9219, 4.46, 2.96, 8.62, 5.24, 4.76, 25.62
