team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total
100, 4.98, 7.79, 8.6, 12.47, 7.02, 38.61
1038, 5.16, 6.23, 9.83, 16.27, 7.29, 46.83
1138, 3.74, 5.09, 10.09, 10.33, 8.65, 41.44
125, 6.33, 11.81, 13.86, 21.05, 10.75, 67.15
1325, 7.25, 11.78, 12.95, 27.81, 9.49, 71.53
144, 5.06, 6.86, 9.61, 11.16, 5.33, 37.61
1477, 7.9, 6.1, 11.74, 20.54, 4.43, 56.77
1511, 6.47, 4.06, 9.26, 9.75, 5.52, 37.01
1533, 7.07, 7.72, 9.66, 15.59, 9.25, 50.81
1710, 5.17, 5.37, 14.79, 5.21, 5.35, 39.56
1731, 7.71, 10.1, 16.82, 21.16, 8.57, 70.15
1781, 5.78, 7.01, 9.28, 19.55, 8.38, 52.04
1922, 5.24, 5.85, 15.29, 8.47, 7.52, 47.28
20, 7.4, 6.76, 8.82, 18.1, 8.71, 52.64
203, 6.21, 7.24, 10.73, 13.97, 6.18, 45.98
2054, 6.13, 7.5, 12.54, 21.72, 6.34, 58.6
2073, 8.3, 6.3, 15.43, 10.2, 6.85, 51.54
2264, 4.81, 6.12, 8.58, 17.34, 9.13, 49.02
230, 4.99, 11.1, 12.57, 23.31, 8.06, 62.53
2333, 4.7, 5.71, 7.7, 14.16, 5.09, 37.89
2363, 7.82, 6.72, 11.93, 26.16, 8.11, 67.51
2412, 5.07, 6.68, 10.51, 19.33, 6.28, 52.55
2438, 4.94, 6.46, 8.86, 15.41, 8.07, 45.35
2445, 3.22, 3.94, 8.61, 6.46, 5.84, 29.21
2486, 5.42, 4.55, 9.61, 5.4, 7.25, 34.92
2491, 5.76, 3.57, 7.42, 10.3, 6.61, 36.6
2590, 5.45, 8, 11.56, 17.78, 6.53, 51.69
2659, 5.4, 8.74, 12.99, 20.41, 8.46, 60.93
2667, 4.49, 4.37, 7.99, 7.04, 5.68, 30.31
2713, 4.12, 7.56, 11.59, 18.05, 9.42, 55.72
2767, 7.03, 11.91, 13.11, 23.64, 8.1, 68.29
2869, 4.83, 2.63, 7.61, 4.23, 7.41, 28.32
2883, 6.02, 8.32, 9.69, 19.02, 7.76, 52.56
3035, 6.03, 4.44, 11.81, 14.14, 10.62, 52.96
3082, 4.62, 3.14, 4.72, 11.78, 8.33, 32.91
321, 5.16, 10.12, 8.8, 16.8, 5.97, 45.12
3314, 7.73, 7.54, 16, 18.39, 8.22, 66.69
3390, 4.85, 2.26, 7.94, 5.61, 6.52, 27.29
3414, 7.55, 6.33, 10.07, 15.62, 6.76, 47.84
3527, 1.58, 1.77, 6.32, 0.92, 3.24, 15.34
3641, 4.41, 8.1, 11.01, 20.25, 9.35, 55.8
3647, 4.97, 11.73, 13.65, 20.98, 6.55, 59.51
3875, 5.49, 5.12, 4.97, 14.07, 6.56, 36.16
3928, 7.13, 4.85, 6.19, 11.44, 7.34, 39.04
4091, 3.01, 3.64, 7.21, 4.52, 4.84, 23.17
4201, 5.58, 6.33, 11.77, 19.21, 8, 56.87
4206, 5.67, 6.4, 16.2, 13.76, 8.75, 59.83
4226, 3.24, 5.51, 7.37, 9.54, 5.33, 30.75
4272, 5.81, 9.76, 13.65, 20.38, 7.48, 60.56
4613, 7.09, 5.88, 13.54, 16.29, 6.95, 56.91
4795, 7.68, 7.89, 12.93, 16.35, 7.74, 57.82
4907, 4.94, 9.89, 10.02, 23.84, 7.75, 60.73
4946, 6.26, 9.41, 14.36, 20.37, 8.62, 63.59
5216, 5.47, 6.64, 9.06, 20.3, 9.91, 53.94
5406, 7.33, 7.84, 11.72, 19.01, 8.21, 57.25
5422, 3.03, 3.96, 6.66, 5.41, 6.9, 24.83
5460, 7.32, 7.19, 12.51, 21.75, 7.25, 65.28
5472, 8.54, 5.64, 11.39, 23.24, 8.43, 66.89
5712, 5.09, 8.91, 14.8, 17.39, 7.15, 55.94
5724, 5.2, 5.46, 8.48, 16.24, 6.78, 44.49
6081, 7.16, 8.86, 11, 16.9, 8.03, 53.77
6424, 9.16, 7.7, 11.48, 21.93, 8.03, 62.47
6510, 8.72, 5.47, 9.75, 15.16, 7.62, 50.43
6806, 5.44, 5.97, 12.06, 3.41, 7.41, 32.59
6838, 6.14, 6.84, 10.06, 14.81, 7.93, 46.77
695, 6.73, 7.79, 12.82, 24.16, 6.96, 64.4
6989, 3.67, 3.15, 10.5, 2.36, 6.61, 27.57
7153, 6.13, 8.5, 8.83, 14.63, 7.73, 45.84
7769, 2.97, 8.03, 11.87, 20.16, 9.44, 58.14
8575, 4.55, 4.54, 8, 7.67, 5.82, 30.25
870, 7.5, 7.24, 9.9, 18.7, 9.29, 58.83
9000, 3.73, 7.05, 14.03, 3.66, 9.44, 36.94
9079, 4.77, 4, 8.56, 3.06, 4.59, 24.86
9135, 5.44, 2.63, 2.92, 5.39, 6.58, 23.44
9136, 4.77, 5.08, 10.24, 13.61, 9.34, 47.34
9280, 4.54, 3.13, 5.87, 7.02, 7.9, 30.16
9287, 5.02, 3.56, 8.66, 4.68, 8.87, 33.03
9293, 4.85, 4.89, 9.91, 9.77, 6.23, 38.4
