team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total,norm_a_c_s_p,norm_a_g_p,norm_c_p,norm_co_p,norm_eg_p
1678,7.06,11.38,17.54,23.63,11.69,78.53,0.7196738022,0.9404958678,1,0.8433261956,1
1114,5.5,7.73,14.46,21.63,7.99,65.95,0.5606523955,0.6388429752,0.8244013683,0.7719486081,0.6834901625
103,7.6,4.99,14.68,16.68,8.62,62.04,0.7747196738,0.4123966942,0.8369441277,0.5952890792,0.7373823781
8013,6.73,7.12,10.49,19.53,8.01,55.63,0.6860346585,0.5884297521,0.5980615735,0.6970021413,0.6852010265
3476,5.55,10.73,13.2,22.8,7.68,65.85,0.5657492355,0.8867768595,0.7525655644,0.8137044968,0.6569717707
6800,5.58,6.45,13.12,16.69,8.62,57.84,0.5688073394,0.5330578512,0.748004561,0.5956459672,0.7373823781
4451,8.72,6.34,11.65,17.79,8.5,58.02,0.8888888889,0.5239669421,0.6641961231,0.6349036403,0.7271171942
3539,2.88,8.77,11.17,19.2,9.52,51.62,0.2935779817,0.7247933884,0.6368301026,0.6852248394,0.8143712575
7197,4.61,4.33,8.58,17.36,8.13,47.6,0.4699286442,0.3578512397,0.4891676169,0.619557459,0.6954662104
3467,6.69,10.01,15.93,22.38,8.21,70.11,0.6819571865,0.8272727273,0.9082098062,0.7987152034,0.7023096664
1165,6.13,4.09,9.07,1.51,4.54,23.23,0.624872579,0.3380165289,0.5171037628,0.05389007852,0.3883661249
1318,7.26,8.86,12.61,24.15,7.21,65.68,0.7400611621,0.732231405,0.7189281642,0.8618843683,0.6167664671
157,6.73,5.26,7.11,8.54,5.19,31.77,0.6860346585,0.4347107438,0.405359179,0.3047822984,0.4439692044
1591,6.45,10.87,12.58,21.55,8.88,63.75,0.6574923547,0.8983471074,0.7172177879,0.7690935046,0.7596236099
1622,5.72,5.89,7.79,15.3,3.7,41.84,0.5830784913,0.4867768595,0.4441277081,0.5460385439,0.3165098375
1690,7.11,9.74,14.68,21.54,8.39,67.41,0.7247706422,0.8049586777,0.8369441277,0.7687366167,0.7177074423
1701,6.36,7.24,13.84,16.54,9.39,56.44,0.6483180428,0.5983471074,0.7890535918,0.5902926481,0.8032506416
