team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total
107, 5.76, 7.44, 11.07, 11.9, 6.88, 44.51
1311, 5.04, 6.06, 5.84, 4.36, 2.86, 18.76
1323, 7.98, 13, 20.26, 23.31, 9.42, 83.59
1706, 6.26, 9.52, 13.6, 17.92, 7.24, 57.94
1727, 6.71, 9.89, 14.75, 24.08, 6.99, 68.11
1792, 6.38, 6.32, 8.17, 11.36, 7.19, 38.2
1796, 5.68, 5.53, 10.12, 18.67, 10.27, 53.69
1799, 4.76, 1.68, 6.96, 4.47, 6.1, 26.83
1807, 6.32, 4.04, 9.11, 21.88, 6.5, 54.6
190, 5.51, 4.92, 8.99, 5.73, 6.66, 31.25
1986, 5.79, 8.79, 9.89, 18.07, 8.8, 54.27
1987, 8.21, 7.46, 14.84, 20.77, 7.19, 66.37
201, 5.78, 4.32, 11.35, 5.26, 6.12, 35.34
2046, 5.97, 12.31, 16.88, 24.38, 10.37, 74.78
2052, 6.89, 8.13, 9.93, 19.73, 8.67, 55.8
2096, 5.25, 5.04, 8.46, 17.15, 5.24, 45.86
2169, 5.99, 8.01, 11.12, 14.76, 7.47, 48.21
226, 5.37, 5.91, 12.25, 11.17, 9.5, 47.76
2338, 6.51, 7.92, 14.25, 21.74, 8.84, 66.75
2341, 1.64, 1.06, 7, 8.37, 7.75, 29.09
245, 7, 7.29, 10.55, 20.32, 8.36, 58.2
2481, 4.73, 11.12, 11.75, 22.09, 8.07, 60.55
2495, 5.08, 5.06, 8.44, 16.66, 7.93, 45.25
2609, 7.16, 6.04, 7.86, 16.9, 7.67, 48.1
2718, 3.88, 3.04, 8.53, 1.31, 5.94, 21.29
2930, 5.79, 11.37, 11.85, 23.76, 7.72, 63.54
3019, 3.32, 0.43, 4.58, 0.99, 5.37, 16.33
3189, 5.26, 3.62, 9.61, 1.17, 4.65, 25.01
3357, 5.02, 11.98, 13.98, 22.33, 10.01, 63.57
341, 5.83, 8.3, 13.28, 20.77, 8.88, 61.98
353, 7.49, 3.97, 5.73, 12.76, 4.95, 39.39
3636, 5.82, 6.55, 11.92, 20.16, 9.57, 61.77
365, 4.94, 6.14, 9.52, 14.05, 3.35, 39.55
3654, 6.28, 3.51, 6.32, 3.94, 7.53, 28.27
4096, 5.35, 7.31, 7.99, 16.64, 8.09, 46.94
4135, 4.19, 4.31, 5.07, 11.79, 4.95, 31.58
4213, 5.91, 4.49, 8.46, 10.5, 8.71, 39.27
4265, 8.32, 7.1, 10.76, 20.02, 6.91, 59.08
4336, 6.78, 5.48, 9.99, 19.46, 7.49, 55.3
4391, 6.55, 9.61, 12.02, 24.75, 8.32, 67
4400, 7.85, 3.09, 16.3, 3.44, 7.7, 43.95
4414, 6.83, 7.34, 13.32, 21.04, 7.84, 68.16
4450, 4.37, 2.92, 5.1, 7.66, 5.04, 24.72
4682, 8.63, 6.66, 9.71, 15.17, 6.81, 47.22
488, 5.3, 8.07, 11.75, 18.45, 10.31, 57.99
4930, 3.08, 3.27, 12.11, 4.87, 5.48, 31.41
498, 7.18, 5.06, 13.6, 7.15, 8.15, 47.19
5123, 1.59, 0.73, 3.76, 2.29, 5.4, 15.86
5526, 6.57, 5.43, 10.84, 7.23, 8.07, 38.88
5587, 3.87, 2.92, 5.09, 5.35, 3.73, 22.52
5648, 2.18, 2.07, 3.89, 2.45, 3.73, 13
5667, 6.8, 5.12, 10.6, 9.07, 6.57, 39.57
5675, 7.91, 5.85, 11.44, 8.82, 6.64, 43.82
573, 6.98, 7.43, 10.38, 18.08, 6.27, 53.24
5816, 3.25, 3.75, 1.35, 3.03, 4.11, 11.6
6024, 3.91, 5.15, 7.7, 5.68, 5.71, 27.36
610, 8.19, 5.9, 10.55, 13.79, 8.36, 49.05
6357, 7.62, 5.06, 11, 9.97, 7.39, 43.66
6429, 5.75, 2.83, 10.24, 5.14, 7.05, 33.14
6517, 4.3, 3.24, 10.28, 2.92, 6.62, 28.78
6721, 4.7, 5.46, 8.07, 7.84, 6.21, 32.78
68, 4.17, 6.64, 11.17, 6.25, 8.21, 34.35
6832, 4.03, 0.02, 5.19, 2.02, 6.87, 20.71
696, 5, 5.26, 10.4, 15.5, 7.43, 49.1
7407, 4.19, 13.54, 15.57, 24.29, 7.54, 66.73
7457, 6.47, 7.72, 10.77, 24.83, 7.19, 63.78
772, 5.64, 2.21, 10.08, 4.55, 7.42, 35.5
8019, 7.08, 7.04, 10.37, 10.4, 8.46, 43.99
8736, 5.56, 5.47, 8.57, 14.96, 7.5, 44.84
876, 7.43, 8.55, 12.21, 17.97, 7.98, 57.85
9071, 3.27, 5.19, 7.73, 4.92, 6.65, 25.89
9082, 4.56, 3.76, 10.51, 1.89, 6.36, 26.62
9118, 4.64, 2.42, 8.46, 2.47, 7.96, 28.42
9182, 6.33, 4.1, 7.8, 6.06, 6.57, 33.4
9202, 6.46, 1.48, 6.91, 2.42, 7.2, 26.34
9260, 5.36, 5.98, 9.09, 15.38, 2.65, 41.66
999, 6.23, 5.61, 8.54, 13.6, 9.46, 44.54
