team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total,norm_a_c_s_p,norm_a_g_p,norm_c_p,norm_co_p,norm_eg_p
1323,7.98,13,20.26,23.31,9.42,83.59,0.9246813441,0.9601181684,1,0.9387837294,0.9083895853
4265,8.32,7.1,10.76,20.02,6.91,59.08,0.9640787949,0.5243722304,0.5310957552,0.8062827225,0.6663452266
2338,6.51,7.92,14.25,21.74,8.84,66.75,0.7543453071,0.5849335303,0.7033563672,0.8755537656,0.8524590164
2046,5.97,12.31,16.88,24.38,10.37,74.78,0.6917728853,0.9091580502,0.8331688055,0.981876762,1
3357,5.02,11.98,13.98,22.33,10.01,63.57,0.5816917729,0.8847858198,0.690029615,0.8993153443,0.9652844744
573,6.98,7.43,10.38,18.08,6.27,53.24,0.808806489,0.5487444609,0.5123395854,0.7281514297,0.6046287367
3636,5.82,6.55,11.92,20.16,9.57,61.77,0.674391657,0.4837518464,0.5883514314,0.8119210632,0.9228543877
696,5,5.26,10.4,15.5,7.43,49.1,0.5793742758,0.388478582,0.5133267522,0.6242448651,0.7164898746
2481,4.73,11.12,11.75,22.09,8.07,60.55,0.5480880649,0.8212703102,0.5799605133,0.8896496174,0.7782063645
1986,5.79,8.79,9.89,18.07,8.8,54.27,0.6709154114,0.6491875923,0.488153998,0.7277486911,0.8486017358
107,5.76,7.44,11.07,11.9,6.88,44.51,0.6674391657,0.5494830133,0.5463968411,0.4792589609,0.6634522662
1311,5.04,6.06,5.84,4.36,2.86,18.76,0.58400927,0.447562777,0.2882527147,0.1755940395,0.2757955641
1706,6.26,9.52,13.6,17.92,7.24,57.94,0.7253765933,0.7031019202,0.6712734452,0.7217076118,0.6981677917
1727,6.71,9.89,14.75,24.08,6.99,68.11,0.7775202781,0.7304283604,0.728035538,0.9697946033,0.6740597878
1792,6.38,6.32,8.17,11.36,7.19,38.2,0.7392815759,0.4667651403,0.4032576505,0.4575110753,0.6933461909
1796,5.68,5.53,10.12,18.67,10.27,53.69,0.6581691773,0.4084194978,0.4995064166,0.7519130085,0.9903567985
1799,4.76,1.68,6.96,4.47,6.1,26.83,0.5515643105,0.1240768095,0.3435340573,0.1800241643,0.5882352941
1807,6.32,4.04,9.11,21.88,6.5,54.6,0.7323290846,0.2983751846,0.4496544916,0.8811921063,0.6268081003
190,5.51,4.92,8.99,5.73,6.66,31.25,0.6384704519,0.3633677991,0.4437314906,0.2307692308,0.6422372228
1987,8.21,7.46,14.84,20.77,7.19,66.37,0.9513325608,0.5509601182,0.7324777887,0.8364881192,0.6933461909
201,5.78,4.32,11.35,5.26,6.12,35.34,0.6697566628,0.3190546529,0.5602171767,0.2118405155,0.5901639344
2052,6.89,8.13,9.93,19.73,8.67,55.8,0.798377752,0.6004431315,0.4901283317,0.7946033025,0.8360655738
2096,5.25,5.04,8.46,17.15,5.24,45.86,0.6083429896,0.3722304284,0.4175715696,0.6906967378,0.5053037608
2169,5.99,8.01,11.12,14.76,7.47,48.21,0.6940903824,0.5915805022,0.5488647581,0.594442207,0.7203471553
226,5.37,5.91,12.25,11.17,9.5,47.76,0.6222479722,0.4364844904,0.6046396841,0.4498590415,0.9161041466
2341,1.64,1.06,7,8.37,7.75,29.09,0.1900347625,0.07828655835,0.3455083909,0.3370922271,0.7473481196
245,7,7.29,10.55,20.32,8.36,58.2,0.8111239861,0.5384047267,0.5207305035,0.8183648812,0.806171649
2495,5.08,5.06,8.44,16.66,7.93,45.25,0.5886442642,0.3737075332,0.4165844028,0.6709625453,0.7647058824
2609,7.16,6.04,7.86,16.9,7.67,48.1,0.8296639629,0.4460856721,0.3879565647,0.6806282723,0.7396335583
2718,3.88,3.04,8.53,1.31,5.94,21.29,0.449594438,0.2245199409,0.4210266535,0.05275875957,0.5728061716
2930,5.79,11.37,11.85,23.76,7.72,63.54,0.6709154114,0.8397341211,0.5848963475,0.9569069674,0.7444551591
3019,3.32,0.43,4.58,0.99,5.37,16.33,0.3847045191,0.0317577548,0.2260612043,0.03987112364,0.5178399229
3189,5.26,3.62,9.61,1.17,4.65,25.01,0.6095017381,0.2673559823,0.4743336624,0.04712041885,0.4484088717
341,5.83,8.3,13.28,20.77,8.88,61.98,0.6755504056,0.6129985229,0.6554787759,0.8364881192,0.856316297
353,7.49,3.97,5.73,12.76,4.95,39.39,0.8679026651,0.2932053176,0.2828232971,0.5138944825,0.4773384764
