team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total
1025, 4.81, 6.35, 12.19, 11.95, 6.52, 44.03
1296, 7.53, 5.61, 9.43, 14.19, 5.99, 45.6
1339, 6.6, 7.94, 13.09, 19.89, 5.85, 59.65
1391, 5.62, 10.04, 10.91, 18.4, 11.28, 57.2
1425, 6.72, 9.35, 10.84, 20.06, 6.08, 54.92
1540, 4.38, 8.75, 12.51, 15.95, 7.59, 50.71
16, 7.38, 7.3, 8.12, 20.81, 7.29, 56.42
1625, 5.32, 3.85, 10.85, 13.29, 7.76, 46.62
166, 3.08, 4.71, 10.71, 17.3, 9.66, 51.37
1676, 7.16, 6.89, 11.93, 16.18, 7.21, 53.29
1684, 5.97, 6.06, 10.01, 19.97, 9.49, 57.16
1714, 7.03, 6.43, 9.22, 15.01, 8.69, 46.37
1718, 8.09, 7.47, 9.33, 24.49, 7.97, 62.65
1730, 4.51, 6.15, 11.64, 17.89, 9.65, 56.4
1732, 5.99, 7.64, 10.3, 20.01, 6.66, 55.27
1785, 5.63, 5.87, 10.27, 13.72, 8.87, 45.62
1802, 4.74, 4.07, 8.44, 11.28, 8.92, 40.6
2059, 4.33, 4.65, 6.68, 12.93, 7.82, 38.82
2067, 3.74, 8.76, 10.28, 18.98, 9.4, 53.39
2075, 4.12, 12.38, 14.22, 24.62, 9.65, 69.41
2080, 1.41, 2.63, 5.64, 10.57, 8.86, 31.21
217, 2.42, 4.68, 7.74, 15.92, 5.94, 40.79
2170, 4.59, 3.34, 13.88, 5.63, 8.1, 41.79
2359, 4.56, 3.12, 9.38, 3.49, 6.03, 27.26
2429, 5.49, 5.86, 8.1, 11.37, 7.22, 37.34
2521, 6.83, 9.1, 15.97, 19.49, 9.44, 67.46
28, 3.55, 0.99, 3.72, 0.19, 8.76, 16.43
281, 7.47, 7.39, 9.86, 18.41, 6.36, 52.06
2832, 7.57, 5.7, 10.44, 13.42, 9.32, 48.81
3175, 7.52, 9.63, 15.8, 14.7, 9.83, 61.72
3339, 6.78, 6.82, 11.07, 16.92, 8.08, 53.74
3506, 6.38, 6.85, 8.97, 18.59, 6.3, 49.27
359, 6.83, 8.55, 13.02, 19.38, 9.12, 60.18
3653, 4.42, 2.42, 3.96, 4.86, 5.87, 21.71
3753, 4.79, 2.41, 3.94, 8.02, 1.67, 20.86
3794, 2.29, 1.2, 4.02, 4.16, 7.09, 18.06
4011, 5.41, 6.7, 6.42, 15.4, 7.98, 41.62
422, 4.94, 9.17, 14.68, 16.98, 4.76, 56.35
4276, 7.19, 4.98, 10.4, 4.3, 7.6, 34.06
4293, 5.03, 4.92, 8.02, 10.69, 6.98, 37.27
4342, 5.22, 6.48, 9.38, 20.22, 7.79, 53.43
4499, 7.58, 9.71, 13.61, 24.25, 6.68, 66.83
4607, 5.47, 7.42, 10.53, 20.61, 9.83, 59.29
4624, 7.05, 2.69, 12.15, 3.84, 9.23, 40.94
4635, 4.96, 8.62, 8.61, 21.29, 7.7, 53.94
4776, 6.56, 6.88, 9.59, 9.37, 8.94, 41.62
484, 5.78, 6.42, 10.8, 15.44, 6.67, 48.39
4920, 5.8, 9.26, 8.82, 18.66, 7.04, 50.95
4976, 5.28, 6.89, 9.94, 18.93, 8.04, 52.21
5050, 6.2, 4.27, 8.34, 15.86, 7.59, 47.12
51, 6, 8.52, 12.94, 20.49, 9.16, 63.1
533, 3.14, 5.82, 5.49, 13.24, 5.69, 31.32
5431, 4.92, 6.26, 9.66, 15.24, 7.72, 45.49
5434, 7.66, 5.77, 8.59, 12.92, 5.42, 41.81
5654, 4.36, 4.98, 9.04, 16.47, 6.8, 49.61
5883, 4.99, 2.6, 9.9, 2.64, 10.11, 31.91
6045, 4.57, 6.34, 12.73, 17.19, 7.59, 53.43
6146, 6.09, 5.03, 8.39, 12.96, 8.9, 44.3
6377, 6.22, 5.78, 13.35, 17.91, 9.58, 60.03
668, 4.97, 3.55, 2.98, 11.62, 9.44, 33.09
6833, 5.63, 2.83, 4.35, 7.53, 7.4, 31.43
6919, 5.86, 7.04, 14.54, 14.67, 7.58, 54.16
7157, 4.47, 8.06, 15.75, 21.54, 8.33, 65.6
7460, 5.34, 3.05, 11.48, 11.93, 6.78, 46.13
7558, 5.48, 10.43, 11.44, 20.73, 7.71, 56.84
7748, 5.63, 5.52, 11.41, 2.63, 2.42, 25.89
85, 7.41, 5.6, 9.47, 17.67, 7.04, 50.74
88, 4.97, 7.7, 8.83, 23.9, 10.57, 60.78
8871, 3.96, 1.98, 5.28, 3.47, 5.51, 20.91
9037, 2.72, 1.04, 6.22, 3.63, 6.8, 22.89
9068, 5.04, 4.22, 8.21, 4.37, 5.62, 25.53
9092, 4.8, 5.33, 6.8, 10.66, 7.28, 33.81
9152, 3.4, 1.12, 6.15, 2.55, 5.6, 20.78
9176, 6.45, 4.83, 7.26, 15.08, 7.4, 43.52
9213, 4.9, 0.79, 7.51, 1.94, 6.79, 25.58
9312, 5.34, 5.83, 9.57, 21.55, 8.66, 58.03
971, 3.55, 12.44, 12.26, 21.04, 8.03, 57.13
973, 7.69, 7.74, 13.92, 19.56, 8.34, 66.49
