team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total,norm_a_c_s_p,norm_a_g_p,norm_c_p,norm_co_p,norm_eg_p
2075,4.12,12.38,14.22,24.62,9.65,69.41,0.5092707046,0.9951768489,0.8904195366,1,0.8554964539
1730,4.51,6.15,11.64,17.89,9.65,56.4,0.5574783684,0.4943729904,0.7288666249,0.7266450041,0.8554964539
3175,7.52,9.63,15.8,14.7,9.83,61.72,0.9295426452,0.7741157556,0.9893550407,0.5970755483,0.8714539007
51,6,8.52,12.94,20.49,9.16,63.1,0.7416563659,0.6848874598,0.8102692549,0.8322502031,0.8120567376
973,7.69,7.74,13.92,19.56,8.34,66.49,0.9505562423,0.6221864952,0.8716343143,0.7944760357,0.7393617021
3339,6.78,6.82,11.07,16.92,8.08,53.74,0.8380716934,0.5482315113,0.6931747026,0.6872461413,0.7163120567
4499,7.58,9.71,13.61,24.25,6.68,66.83,0.9369592089,0.7805466238,0.852222918,0.9849715678,0.5921985816
1718,8.09,7.47,9.33,24.49,7.97,62.65,1,0.6004823151,0.5842204133,0.99471974,0.7065602837
7558,5.48,10.43,11.44,20.73,7.71,56.84,0.6773794808,0.8384244373,0.7163431434,0.8419983753,0.6835106383
6377,6.22,5.78,13.35,17.91,9.58,60.03,0.7688504326,0.4646302251,0.835942392,0.7274573517,0.8492907801
1025,4.81,6.35,12.19,11.95,6.52,44.03,0.5945611867,0.5104501608,0.7633061991,0.4853777417,0.5780141844
1296,7.53,5.61,9.43,14.19,5.99,45.6,0.9307787392,0.4509646302,0.590482154,0.5763606824,0.5310283688
1339,6.6,7.94,13.09,19.89,5.85,59.65,0.8158220025,0.6382636656,0.819661866,0.8078797725,0.5186170213
1391,5.62,10.04,10.91,18.4,11.28,57.2,0.694684796,0.807073955,0.6831559173,0.74735987,1
1425,6.72,9.35,10.84,20.06,6.08,54.92,0.8306551298,0.751607717,0.6787726988,0.8147847279,0.5390070922
1540,4.38,8.75,12.51,15.95,7.59,50.71,0.5414091471,0.7033762058,0.7833437696,0.6478472786,0.6728723404
16,7.38,7.3,8.12,20.81,7.29,56.42,0.91223733,0.5868167203,0.50845335,0.845247766,0.6462765957
1625,5.32,3.85,10.85,13.29,7.76,46.62,0.6576019778,0.3094855305,0.6793988729,0.5398050366,0.6879432624
166,3.08,4.71,10.71,17.3,9.66,51.37,0.3807169345,0.3786173633,0.6706324358,0.7026807474,0.8563829787
1676,7.16,6.89,11.93,16.18,7.21,53.29,0.8850432633,0.5538585209,0.7470256731,0.657189277,0.6391843972
1684,5.97,6.06,10.01,19.97,9.49,57.16,0.7379480841,0.4871382637,0.6268002505,0.8111291633,0.8413120567
1714,7.03,6.43,9.22,15.01,8.69,46.37,0.868974042,0.5168810289,0.5773324984,0.6096669374,0.7703900709
1732,5.99,7.64,10.3,20.01,6.66,55.27,0.7404202719,0.61414791,0.6449592987,0.8127538587,0.5904255319
1785,5.63,5.87,10.27,13.72,8.87,45.62,0.69592089,0.4718649518,0.6430807765,0.5572705118,0.7863475177
1802,4.74,4.07,8.44,11.28,8.92,40.6,0.585908529,0.327170418,0.5284909205,0.4581640942,0.7907801418
2059,4.33,4.65,6.68,12.93,7.82,38.82,0.5352286774,0.3737942122,0.418284283,0.5251827782,0.6932624113
2067,3.74,8.76,10.28,18.98,9.4,53.39,0.4622991347,0.7041800643,0.6437069505,0.7709179529,0.8333333333
2080,1.41,2.63,5.64,10.57,8.86,31.21,0.174289246,0.211414791,0.3531621791,0.4293257514,0.7854609929
217,2.42,4.68,7.74,15.92,5.94,40.79,0.2991347342,0.3762057878,0.4846587351,0.6466287571,0.5265957447
2170,4.59,3.34,13.88,5.63,8.1,41.79,0.5673671199,0.268488746,0.869129618,0.2286758733,0.7180851064
2359,4.56,3.12,9.38,3.49,6.03,27.26,0.5636588381,0.2508038585,0.5873512837,0.141754671,0.5345744681
2429,5.49,5.86,8.1,11.37,7.22,37.34,0.6786155748,0.4710610932,0.5072010019,0.4618196588,0.640070922
2521,6.83,9.1,15.97,19.49,9.44,67.46,0.8442521632,0.731511254,1,0.7916328188,0.8368794326
28,3.55,0.99,3.72,0.19,8.76,16.43,0.4388133498,0.07958199357,0.2329367564,0.007717303006,0.7765957447
281,7.47,7.39,9.86,18.41,6.36,52.06,0.9233621755,0.5940514469,0.6174076393,0.7477660439,0.5638297872
2832,7.57,5.7,10.44,13.42,9.32,48.81,0.935723115,0.4581993569,0.6537257358,0.5450852965,0.8262411348
3506,6.38,6.85,8.97,18.59,6.3,49.27,0.7886279357,0.5506430868,0.5616781465,0.755077173,0.5585106383
359,6.83,8.55,13.02,19.38,9.12,60.18,0.8442521632,0.6872990354,0.8152786475,0.7871649066,0.8085106383
3653,4.42,2.42,3.96,4.86,5.87,21.71,0.5463535229,0.1945337621,0.2479649343,0.1974004874,0.5203900709
3753,4.79,2.41,3.94,8.02,1.67,20.86,0.5920889988,0.1937299035,0.2467125861,0.3257514216,0.1480496454
3794,2.29,1.2,4.02,4.16,7.09,18.06,0.283065513,0.09646302251,0.2517219787,0.1689683184,0.6285460993
4011,5.41,6.7,6.42,15.4,7.98,41.62,0.6687268232,0.538585209,0.402003757,0.6255077173,0.7074468085
422,4.94,9.17,14.68,16.98,4.76,56.35,0.6106304079,0.7371382637,0.9192235441,0.6896831844,0.4219858156
