red_1,red_2,red_3,blue_1,blue_2,blue_3,win
4613,9483,8056,8058,8570,6459,red
4613,9483,8056,8058,8570,6459,red
4613,9483,8056,8058,8570,6459,null
8800,9468,5665,8570,6989,8084,blue
8261,9001,8800,6988,8209,9497,red
7466,9610,5665,6014,7570,8058,tie
9547,9647,8153,7636,8079,8570,blue
9174,9132,9422,6459,6985,6989,blue
9483,9089,8799,9479,7551,8056,red
4613,9468,6941,9029,9020,7632,red
8806,9625,9043,8169,8054,6431,blue
9024,8795,7576,9451,9159,8127,red
8725,9422,8570,9132,8153,8261,red
9483,6014,7466,9174,9089,9001,red
9497,9043,8725,8209,9483,9647,blue
8799,8056,9029,8084,7632,9647,blue
4613,8058,7636,8806,9497,8800,red
7576,6985,9547,6431,9043,7551,red
9479,9468,8169,9159,5665,9409,blue
6459,9024,9625,6988,8795,6941,blue
8079,8209,9610,6989,9451,9020,blue
8127,7570,9647,8054,8800,4613,blue
9001,8153,6014,9132,8084,8056,red
9422,7466,9089,9043,7576,9468,blue
8570,7551,8806,6941,8725,9409,red
9422,6988,6431,7632,7466,7636,blue
6459,9479,9029,6431,9610,7636,red
8169,8127,9625,9174,8209,7570,red
8261,9020,9483,6989,9024,7632,blue
9547,8054,8795,9497,5665,8799,red
9451,6988,8079,6985,8058,9159,blue
9647,6941,6431,9089,9132,8725,blue
8127,8570,8056,9610,9043,6459,red
8084,9174,8261,8806,9479,7570,blue
9497,7632,7551,6014,5665,6989,blue
9024,9159,4613,8799,9409,9422,red
9001,9409,8058,9625,8261,9089,red
8209,6985,8153,9468,8058,8795,red
7576,7636,9451,9001,8169,9020,blue
8800,9029,7466,9625,9547,8079,blue
9610,8261,6988,8054,9483,6941,blue
7570,7632,9132,9479,9409,9497,red
8209,8056,8058,5665,6431,9024,blue
9159,7636,6989,6014,9089,8127,blue
6985,8079,8084,7576,4613,9625,blue
9043,8570,9020,6988,8799,9174,red
9468,9001,6459,9647,8725,8800,red
8153,8799,9024,7570,9610,6985,blue
9029,7551,8054,8153,9451,7466,red
8795,8806,8169,9422,9483,9547,red
5665,7636,8209,6941,7576,9132,blue
9625,6431,8084,9159,9497,9610,red
8725,8079,9001,8799,8127,7632,red
9089,9020,4613,8570,6459,8153,blue
7551,9547,9174,9468,9024,8261,red
7570,9029,9451,9483,6988,8806,blue
8800,9479,6014,8795,9422,9043,red
9409,6989,8169,8058,9647,8054,blue
9451,4613,6014,9547,6941,9479,red
9020,8056,6985,7466,9497,8127,red
7636,9625,9132,7551,8799,9468,red
6431,9451,9483,8261,4613,8570,blue
9043,6941,7570,8795,9159,9001,red
9409,8806,8209,8079,6014,6459,blue
7632,8800,6985,9089,8169,9610,red
8054,7466,9024,8725,8084,9479,blue
6989,9547,6988,8056,8153,7576,blue
8058,9422,5665,9647,9174,9029,red
