red_1,red_2,red_3,blue_1,blue_2,blue_3,win
114,5507,5940,7426,2551,8033,red
114,5507,5940,7426,2551,8033,red
6814,8016,6962,8793,9006,9111,red
971,7130,5507,2489,846,6814,red
852,114,8033,1700,7245,5940,red
8840,9584,7426,2854,841,1671,blue
4904,5924,2643,4765,4973,840,blue
9114,6662,6822,649,6418,8852,red
9038,4669,9006,1458,2551,971,blue
5700,5507,8016,4186,5940,852,red
6814,114,7130,4698,1671,6962,red
8793,2489,5924,8033,7245,9584,blue
846,9111,841,840,649,9114,blue
7245,6418,1458,9143,5700,7130,red
2551,4904,9143,2854,2643,6822,blue
9038,8852,6662,1700,8840,4973,red
4765,6418,4669,114,7426,4186,blue
6962,5507,5940,971,5924,7245,red
2489,9584,1458,846,840,4698,red
6822,6814,2551,841,8033,8016,blue
9143,4973,9038,9111,2854,8852,blue
1671,5700,649,6418,8840,852,red
8793,1700,9114,7130,4765,4904,red
6662,9006,2489,2643,7426,4669,blue
5507,4973,4698,4669,8840,8033,blue
2551,4698,4186,5924,846,6962,red
6822,8852,9584,9111,6814,5507,red
9038,971,852,841,114,6418,blue
7245,840,8840,9114,1458,4904,blue
5700,6662,2643,7130,8016,1700,blue
8033,5940,4973,1671,8793,7426,red
9143,2854,4765,5507,649,9006,blue
852,2489,8852,6418,6962,6822,red
7245,9114,6814,2551,4669,114,blue
9111,4698,2643,5700,4186,9038,red
4186,1671,1700,971,9114,2489,blue
7426,1700,846,4973,8793,4904,red
971,8033,4765,8840,6662,1458,red
2854,9006,5940,840,7130,9584,red
8016,1671,5924,841,649,9143,blue
4186,2643,6814,6962,9038,7245,blue
5507,846,8793,852,5700,2551,blue
4904,9111,2489,6662,4765,114,blue
840,971,6418,4698,8033,2854,blue
649,5924,7130,8852,7426,8016,blue
4669,9143,1700,8840,5940,841,blue
7426,4765,5940,846,9038,6822,red
1458,6822,4973,9584,9114,9006,blue
1671,6814,9038,4186,4904,5507,blue
5700,840,8033,114,6962,971,blue
8016,2854,6418,4765,7245,846,red
852,4669,7130,9111,9143,8840,blue
6662,841,8793,6822,4698,9006,red
7426,9114,5924,2643,1458,1700,red
5940,649,2551,4973,2489,1671,red
8852,5700,114,9584,4186,8016,red
846,4904,8840,8033,9143,6814,blue
114,9584,2854,5924,852,6662,red
6962,840,841,6418,5507,6662,red
5924,1700,2854,4669,6822,9111,red
4698,852,7426,4973,2551,9114,red
9006,1458,4765,5940,1671,8852,blue
649,9584,971,2643,7130,7245,red
8840,9038,8793,2489,8016,840,blue
4904,6418,5700,6814,5924,4669,blue
4973,4186,846,1700,6822,114,blue
1458,8852,4698,5507,852,2854,red
9584,6962,4765,7426,971,9143,blue
2643,841,2551,8852,4904,840,blue
7245,6662,9111,9006,2551,1671,blue
7130,8793,8033,9038,2643,649,red
9114,841,4186,5940,2489,5700,blue
8016,9111,649,4669,1458,6962,red
9006,4186,9143,8793,4698,5700,blue
4698,8852,6662,846,841,840,blue
114,5507,5940,7426,2551,8033,red
840,841,846,6418,6962,9114,red
8033,5700,7426,846,841,840,red
114,5507,5940,846,841,840,red
649,5924,2643,9584,971,2489,blue
8033,5700,7426,6418,6962,9114,red
4698,8852,6662,4765,1671,2854,red
840,841,846,2643,5924,649,red
9114,6962,6418,8016,1671,2854,red
114,5507,5940,9584,971,2489,red
8033,5700,7426,6662,8852,4698,red
2489,971,9584,6418,6962,9114,blue
