team,auto_leave_points,auto_note_points,speaker_amplified_points,speaker_unamplified_points,amp_points,endgame_park_points,endgame_trap_points,rank
6424,1.86,11.67,6.45,9.325303738317757,1.85,0.08,0.36,1
4500,1.28,7.36,11.75,4.8051994091580505,3.09,0.51,-0.04,2
1730,1.45,5.17,3.5,10.779181946403384,1.33,0.45,-0.1,3
5550,1.39,7.21,3.1,7.3487985212569304,1.42,0.87,0.02,4
118,1.87,7.46,6.15,7.406959999999999,0.88,0.37,0.54,5
2036,1.19,2.07,3.65,9.244680134680134,1.2,0.91,0.01,6
4329,1.61,5.2,2.6500000000000004,11.372307692307691,1.37,0.64,0.03,7
2333,0.82,4.21,1.05,10.88822652757079,0.17,0.87,0.33,8
5484,1.75,5.05,2.9499999999999997,9.487512038523276,1.2,0.98,-0.11,9
1209,0.65,4.73,1.6,10.167600644122382,0.74,0.63,0.02,10
1714,1.3,10.35,1.6,10.954471337579617,0.62,0.68,-0.42,1
2491,1.45,5.3,7.6,6.834507462686567,1.89,0.25,-0.07,2
4230,1.39,7.05,13.95,4.019151846785225,2.99,0.18,1.01,3
3297,2.01,5.68,3.1,4.093090909090909,1.61,0.08,2.41,4
2472,0.91,4.58,5.5,4.981006564551421,1.8,0.69,-0.09,5
6147,1.82,11.41,2.75,3.8626,0.51,-0.03,5.56,6
2062,1.95,5.15,5.300000000000001,7.700860927152318,1.76,0.59,-0.04,7
2987,1.16,4.81,3.4000000000000004,7.456954128440368,1.13,0.28,-0.23,8
5913,1.54,4.11,1.05,7.484607329842931,1.38,0.32,0,9
2501,0.76,4.32,4.6000000000000005,4.294524361948955,1.12,-0.03,0.01,10
1787,2.03,9.67,9.45,7.825296442687747,3.33,0.46,0.3,1
325,1.75,9.13,8.45,9.51970053475936,1.63,0.93,-0.22,2
3201,1.71,12.29,4.65,7.372081632653063,1.18,0.56,0.62,3
379,1.44,9.59,4.3,5.097235421166308,2.15,0.08,2.87,4
3015,1.5,12.28,4.85,7.515900439238654,1.91,0.44,1.57,5
4611,1.9,5.59,9.200000000000001,6.653950953678474,1.88,0.46,0.21,6
2252,1.35,7,5.699999999999999,8.469138686131387,1.88,0.75,0.45,7
6834,1.62,3.66,2.2,7.21953488372093,0.85,0,0.08,8
4121,1.32,4.97,1.7999999999999998,8.797761467889908,0.99,0.66,0.11,9
144,1.93,8,5.2,6.418226600985221,1.47,0.39,-0.08,10
4068,1.41,8.41,2.45,12.607004830917875,1.07,0.16,-0.09,1
7426,1.66,8.95,6.3,9.740445544554456,1.99,0.08,0.34,2
1410,1.52,7.69,2.45,8.16426282051282,0.72,0.37,-0.05,3
2240,1.79,7,2.7,11.674569190600522,1.06,0.51,0.27,4
2122,1.99,4.71,3.95,12.918072855464159,1.21,0.56,0.26,5
1339,1.98,5.13,4.699999999999999,8.884754358161649,1.8,0.66,-0.01,6
3501,1.61,4.34,4.8,7.293379310344828,1.35,0.79,-0.03,7
6560,1.94,6.28,6.3,7.236462809917357,2.34,0.52,-0.02,8
3006,1.65,3.76,1.1,11.367838616714698,0.09,0.42,0.22,9
4598,1.43,5.88,0.44999999999999996,7.767366167023555,0.61,0.45,-0.01,10
8613,1.03,11.46,2.15,11.172,0.44,0.36,0,1
8806,1.56,9.96,1.85,7.631479674796747,0.64,0.5,0,2
7632,1.83,7.89,3.9000000000000004,8.068118811881188,1.7,0.28,0.01,3
6941,1.11,9.91,11.899999999999999,6.684308841843087,3.46,0.55,0.01,4
7539,0.65,6.21,1.6,9.576644295302012,0.99,0.23,0.01,5
7536,1.42,6.72,2.25,9.613150684931506,0.83,0.61,0.01,6
8561,1.18,1.3,0.15,3.678351648351648,0.37,0.77,0,7
2905,1.37,7.27,3.95,4.443107769423559,1.81,0.51,0,8
7444,1.59,5.07,-0.2,7.251442786069651,0.5,0.37,0.01,9
8725,1.81,7.19,0.05,10.063366336633663,0.44,0.83,0.01,10
1156,1.23,11.8,10.95,3.367960848287112,3.23,0.37,0.44,1
