red_1,red_2,red_3,blue_1,blue_2,blue_3,win
1730,8711,6424,1561,4329,2945,red
1730,8711,6424,1561,4329,2945,red
1730,8711,6424,1561,4329,2945,null
2352,4523,1730,5889,2945,7744,red
9244,118,3507,3179,9410,1730,blue
1209,3284,9462,2773,4499,6424,blue
2359,4418,4500,7744,662,1561,red
8711,4005,2333,2972,2165,9472,blue
9631,6026,5889,3465,2996,31,blue
5484,1819,6809,4293,2352,9410,red
2395,9462,6424,4523,3179,2945,red
118,9007,2773,4418,7744,4329,blue
4005,1209,2165,2036,9244,8711,blue
4499,31,9472,2996,1730,662,blue
3507,3160,2359,1209,4329,118,blue
5889,2972,3284,4293,3160,4500,blue
1561,9631,2333,6026,5550,5484,blue
2359,3465,2945,3507,6809,3179,red
7744,2395,9410,8711,4418,1209,blue
2996,9462,9007,1819,9244,4005,red
2165,2036,662,3160,2773,5889,red
2333,2972,4329,6424,1561,6026,red
5550,4293,2359,4499,1730,3465,blue
2352,5484,31,3284,3507,4523,red
4500,9631,2945,9472,118,9462,red
6809,2395,3284,5550,4500,1819,blue
2773,3179,8711,9410,2996,3160,blue
5889,1561,6809,2333,9244,9007,blue
662,4329,5550,2036,1730,4005,blue
31,6424,7744,3465,2972,2395,red
2352,9472,3284,4418,5484,118,blue
6026,4293,3507,4500,4499,1209,blue
1819,2165,9410,4523,9631,2359,red
6809,3160,4329,5889,3179,2996,blue
662,2945,31,7744,5550,8711,blue
2036,9472,6424,9462,2352,1561,red
8711,9007,9472,6026,2036,3179,blue
1730,3507,4418,1209,4293,5484,blue
4523,2333,4500,9244,3465,2773,red
4005,2972,9631,9007,3284,2359,tie
2395,1819,118,2165,6026,4499,red
3160,2945,2036,9410,6809,6424,blue
5484,8711,9462,3507,5889,5550,blue
4293,31,9244,4329,9472,2773,blue
9007,3465,2352,2359,1209,662,blue
1561,4500,2972,3179,2395,4005,red
1730,7744,2165,1819,3284,6026,blue
9244,9410,2972,9462,662,4499,blue
2333,4499,118,4523,2996,4418,red
9631,2773,5484,2945,4329,9244,blue
6424,1209,5550,9410,5889,9007,red
4500,8711,2395,2972,2359,2352,red
3465,1561,3160,1730,9462,1819,blue
4005,7744,4523,9472,6809,2996,blue
3284,118,3179,2036,4293,2333,red
4418,662,6026,2165,3507,9631,red
5484,9410,4499,31,4500,9007,tie
2773,5550,1730,3160,6424,2972,blue
2165,2773,2996,6424,5484,3465,blue
1209,1819,5889,9472,4005,2945,red
3284,2996,2036,2395,2359,9244,red
2333,3507,7744,3179,9631,4293,red
4418,2165,6809,4329,31,9462,blue
662,8711,3465,118,1561,4523,blue
2945,6026,2352,4499,3160,4005,tie
9472,5889,2395,9410,2359,2773,blue
5484,2036,3507,2972,1819,7744,red
9462,4500,3179,31,2333,2165,red
3465,4523,1209,3284,4329,1561,blue
1561,4005,4293,31,4418,9631,red
2996,9244,6026,5550,2352,4418,blue
9631,4499,6809,118,6424,8711,blue
2945,1730,4293,9007,662,2395,red
4329,2352,1819,2945,2333,5550,blue
2395,4523,3160,6809,9007,2036,red
2333,31,4418,1561,4329,2945,blue
1730,8711,6424,3284,5484,2972,red
2945,4329,4523,4499,2036,3465,red
2972,5484,3284,1561,4329,2945,blue
1730,3179,6424,9410,1209,1819,red
3465,2036,4499,2945,4329,1561,red
4500,5889,118,3284,5484,2972,blue
5550,3160,2996,2333,31,4418,blue
1819,1209,9410,1561,4329,2945,blue
9462,118,4500,5550,3160,2996,red
1730,3179,6424,4499,2036,3465,red
2972,5484,3284,2333,31,4418,red
3465,2036,4499,4500,118,5889,red
2129,6758,2491,4230,6147,5232,blue
2129,6758,2491,4230,6147,5232,blue
2129,6758,2491,4230,6147,5232,null
2062,4786,2987,2169,6147,7619,red
2501,2175,6758,2512,4623,4786,blue
5913,4230,7530,2987,5275,2855,blue
1716,2169,6132,1714,3100,8803,blue
6419,6574,3297,4166,6044,3212,red
1792,4703,8122,3418,6147,2227,red
3082,2846,8700,7273,7619,4182,red
3206,2501,5339,2039,2129,3023,red
2264,2472,3883,6047,5271,4229,red
5720,2062,2491,2574,5232,1806,red
6044,6132,3130,2512,5913,6045,blue
8803,5913,4229,7530,3100,6758,red
