team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total, rank
1678, 7.06, 11.38, 17.54, 23.63, 11.69, 78.53, 1
1114, 5.5, 7.73, 14.46, 21.63, 7.99, 65.95, 2
103, 7.6, 4.99, 14.68, 16.68, 8.62, 62.04, 3
8013, 6.73, 7.12, 10.49, 19.53, 8.01, 55.63, 4
3476, 5.55, 10.73, 13.2, 22.8, 7.68, 65.85, 5
6800, 5.58, 6.45, 13.12, 16.69, 8.62, 57.84, 6
4451, 8.72, 6.34, 11.65, 17.79, 8.5, 58.02, 7
3539, 2.88, 8.77, 11.17, 19.2, 9.52, 51.62, 8
7197, 4.61, 4.33, 8.58, 17.36, 8.13, 47.6, 9
3467, 6.69, 10.01, 15.93, 22.38, 8.21, 70.11, 10
67, 6.25, 10.57, 16.27, 20.75, 7.37, 65.64, 11
1690, 7.11, 9.74, 14.68, 21.54, 8.39, 67.41, 12
59, 5.33, 5.86, 10.87, 18.7, 8.93, 57.52, 13
2630, 5.81, 6, 11.43, 18.99, 7.83, 55.24, 14
7258, 6.7, 3.79, 10.77, 6.04, 8.26, 40.38, 15
5166, 6.52, 10.79, 12.22, 24, 7.67, 64.08, 16
3005, 6.59, 12.1, 14.24, 28.02, 7.16, 75.65, 17
4381, 6.23, 11.43, 14.37, 20.08, 7.44, 62, 18
8033, 6.2, 5.75, 13.78, 17.95, 8.72, 61, 19
948, 6.9, 5.82, 15.48, 9.08, 8.31, 50.35, 20
5472, 8.54, 5.64, 11.39, 23.24, 8.43, 66.89, 1
2767, 7.03, 11.91, 13.11, 23.64, 8.1, 68.29, 2
3314, 7.73, 7.54, 16, 18.39, 8.22, 66.69, 3
2054, 6.13, 7.5, 12.54, 21.72, 6.34, 58.6, 4
1731, 7.71, 10.1, 16.82, 21.16, 8.57, 70.15, 5
5460, 7.32, 7.19, 12.51, 21.75, 7.25, 65.28, 6
4201, 5.58, 6.33, 11.77, 19.21, 8, 56.87, 7
2659, 5.4, 8.74, 12.99, 20.41, 8.46, 60.93, 8
