team, auto_charge_station_points, auto_grid_points, cube_points, cone_points, endgame_charge_station_points, total,norm_a_c_s_p,norm_a_g_p,norm_c_p,norm_co_p,norm_eg_p
2075,4.12,12.38,14.22,24.62,9.65,69.41,0.4463705309,0.8755304102,0.7138554217,0.7582383739,0.8116063919
1730,4.51,6.15,11.64,17.89,9.65,56.4,0.488624052,0.4349363508,0.5843373494,0.5509701263,0.8116063919
3175,7.52,9.63,15.8,14.7,9.83,61.72,0.8147345612,0.6810466761,0.7931726908,0.4527255929,0.826745164
51,6,8.52,12.94,20.49,9.16,63.1,0.6500541712,0.6025459689,0.6495983936,0.6310440407,0.7703952902
973,7.69,7.74,13.92,19.56,8.34,66.49,0.8331527627,0.5473833098,0.6987951807,0.6024022174,0.7014297729
3339,6.78,6.82,11.07,16.92,8.08,53.74,0.7345612134,0.4823196605,0.5557228916,0.5210963967,0.6795626577
4499,7.58,9.71,13.61,24.25,6.68,66.83,0.8212351029,0.6867043847,0.6832329317,0.7468432399,0.5618166526
1718,8.09,7.47,9.33,24.49,7.97,62.65,0.8764897075,0.5282885431,0.468373494,0.7542346782,0.6703111859
7558,5.48,10.43,11.44,20.73,7.71,56.84,0.593716143,0.7376237624,0.5742971888,0.6384354789,0.6484440706
6377,6.22,5.78,13.35,17.91,9.58,60.03,0.6738894908,0.4087694484,0.6701807229,0.5515860795,0.8057190917
1025,4.81,6.35,12.19,11.95,6.52,44.03,0.5211267606,0.4490806223,0.6119477912,0.3680320296,0.5483599664
1296,7.53,5.61,9.43,14.19,5.99,45.6,0.8158179848,0.3967468175,0.4733935743,0.4370187866,0.503784693
1339,6.6,7.94,13.09,19.89,5.85,59.65,0.7150595883,0.5615275813,0.6571285141,0.612565445,0.4920100925
1391,5.62,10.04,10.91,18.4,11.28,57.2,0.6088840737,0.7100424328,0.5476907631,0.5666769326,0.9486963835
1425,6.72,9.35,10.84,20.06,6.08,54.92,0.7280606717,0.6612446959,0.5441767068,0.6178010471,0.5113540791
1540,4.38,8.75,12.51,15.95,7.59,50.71,0.474539545,0.6188118812,0.6280120482,0.4912226671,0.6383515559
16,7.38,7.3,8.12,20.81,7.29,56.42,0.7995666306,0.5162659123,0.4076305221,0.6408992917,0.6131202691
1625,5.32,3.85,10.85,13.29,7.76,46.62,0.5763813651,0.2722772277,0.5446787149,0.4093008931,0.6526492851
166,3.08,4.71,10.71,17.3,9.66,51.37,0.3336944745,0.3330975955,0.5376506024,0.5327995072,0.8124474348
1676,7.16,6.89,11.93,16.18,7.21,53.29,0.7757313109,0.4872701556,0.5988955823,0.4983061287,0.606391926
1684,5.97,6.06,10.01,19.97,9.49,57.16,0.6468039003,0.4285714286,0.5025100402,0.6150292578,0.7981497056
1714,7.03,6.43,9.22,15.01,8.69,46.37,0.7616468039,0.454738331,0.4628514056,0.4622728673,0.7308662742
1732,5.99,7.64,10.3,20.01,6.66,55.27,0.6489707476,0.540311174,0.5170682731,0.6162611642,0.5601345669
