red_1,red_2,red_3,blue_1,blue_2,blue_3,win
1323,4096,4414,1727,498,2338,red
1323,4096,4414,1727,498,2338,red
6357,9182,610,6429,1706,1986,blue
5587,9118,4096,4414,5675,3357,blue
365,9118,4135,341,6357,1727,blue
6024,1323,4414,1799,2609,5526,red
5667,2052,107,7407,353,9202,red
5648,5123,201,9082,1706,6832,blue
4336,3654,245,696,2341,4265,blue
8736,5816,5675,2096,1792,9260,blue
2338,8019,226,4213,488,9182,red
7457,5587,3019,3636,573,9071,blue
2046,4096,2481,1987,999,4135,red
1799,1323,772,1986,1727,365,red
5123,2046,4265,3636,226,341,red
3189,2169,2495,3357,2052,2718,red
4400,4450,498,6024,4930,2930,red
6721,6832,1311,5667,610,2609,blue
5648,1796,6357,5526,9202,6517,red
6429,9082,7407,1807,190,4682,blue
68,107,341,876,4391,4414,blue
353,5123,999,9118,2338,1792,blue
9182,2481,5675,3636,1323,4336,blue
5816,3357,4096,226,3654,1727,red
2046,2930,8736,201,772,245,red
9071,4213,6832,4391,7407,2495,blue
4135,2096,1706,9071,5667,2718,red
4930,3189,9202,8019,365,1987,blue
3019,1311,7407,1986,498,9082,blue
4414,6721,1807,6517,9260,2169,red
4391,488,353,5587,1799,5648,red
4400,2609,573,6357,696,4213,red
6024,190,2052,610,4265,876,blue
6832,107,4450,9118,1796,6429,blue
2495,2341,4682,7457,68,5123,red
5526,3636,1792,341,772,5667,blue
4400,365,8736,2481,107,3019,red
2096,3654,9182,772,1987,2052,blue
1323,5648,6429,4135,2169,1792,red
1706,1727,5526,999,6721,8019,red
4450,5667,1311,696,573,488,blue
4414,3189,190,2930,7457,6357,blue
876,4682,9118,498,3636,245,blue
2609,8019,7457,2052,9082,3654,red
610,9071,5587,4336,2338,68,blue
9260,6024,3019,226,201,2495,blue
9202,6832,1986,4265,4096,1807,blue
6517,5675,1799,107,2046,4930,blue
3357,2609,365,5816,5123,4391,red
2341,4213,9082,2718,341,1796,blue
7407,4400,2169,8736,353,7457,red
488,4414,772,3636,1706,999,blue
1792,610,1323,1987,498,5667,red
201,2052,9071,1727,9118,573,blue
353,2718,772,2481,6024,696,blue
226,68,3189,5648,1986,696,blue
4135,2930,1799,4336,3019,6832,red
1311,4391,190,9202,2481,2096,blue
2718,8019,5123,107,1807,6357,blue
876,3357,2341,5675,4930,9082,red
245,9260,5526,4096,4400,353,red
4213,4682,6517,3654,365,6024,blue
4265,1796,2609,2338,2495,6429,red
8736,4450,341,6721,5587,5816,red
2046,9182,9118,7407,68,5667,red
190,9202,6721,1323,488,2341,blue
1792,498,2052,226,4391,4336,blue
6357,2096,3636,2169,1799,107,blue
573,2481,2930,1706,1807,3357,red
5675,7457,488,6832,4135,245,red
610,772,4213,9260,5648,9202,red
2338,3654,4930,190,201,5526,red
999,8736,1796,9071,4265,1323,blue
9082,696,5587,365,2495,2046,blue
2718,5816,4682,4414,4400,1311,blue
4450,1987,6024,2341,7407,5123,red
1987,2930,68,1311,5526,2169,red
9182,1727,353,2609,876,3189,blue
341,3019,4096,6517,6429,8019,red
1986,7457,2096,6721,4336,9118,red
245,1792,3357,1807,2052,4213,red
772,226,1706,2169,190,1796,red
2495,9202,3654,498,4135,8736,blue
6832,5816,68,1323,6357,4930,blue
2338,7407,4450,365,5675,2718,red
201,4265,4400,9182,4414,1799,red
2341,3019,6429,5526,353,2046,blue
1727,2096,4336,4682,5648,4930,red
1727,5667,2481,5123,5587,6517,red
8019,876,3636,1311,999,5648,red
4682,696,2930,488,341,610,red
1986,9260,1987,2609,9071,107,red
573,4096,6024,4391,6721,9082,blue
7407,1323,3189,2096,245,4450,red
9202,1799,226,1706,9118,68,red
3019,4135,4213,4265,4930,772,blue
7457,365,498,9182,5526,2718,red
5675,1311,5123,2052,6429,8736,blue
1792,201,876,4450,6517,4135,red
2495,610,8019,2481,4414,1792,blue
1727,3636,696,190,6832,9260,red
5648,2046,6721,4400,3357,2338,blue
1807,4336,9071,3189,341,6024,red
9082,6517,488,353,1987,5816,red
573,1986,5667,3654,2169,876,red
1796,4682,201,4096,6357,4391,blue
999,107,2341,2930,2609,5587,blue
68,4213,4414,5123,498,2096,red
696,9202,7457,3019,1792,1727,red
9260,573,1796,999,3189,498,red
4930,245,6721,6429,226,2481,blue
8019,9071,190,1799,4450,2046,blue
9118,6517,4265,488,2718,9260,red
1987,341,2338,573,8736,6832,red
1706,4391,5675,3654,3189,4400,red
3357,2495,1323,107,201,1311,red
772,4336,2609,4096,876,7407,blue
5816,2169,5648,2341,6024,9182,blue
1796,1807,365,353,610,3636,blue
2052,5526,1986,4682,5587,4135,red
245,2338,1807,5667,1799,5816,red
6357,9082,226,5667,999,2930,blue
1792,2718,190,68,245,573,blue
498,6429,3654,488,9071,2481,blue
4930,9260,1706,7457,1311,2338,blue
696,6721,1987,4213,5675,201,red
2169,4265,4336,2046,8019,5816,red
772,8736,4096,3189,2341,610,blue
5587,876,1807,1796,2096,4400,blue
3357,9182,999,4682,3019,4450,red
3636,1986,4391,2930,2495,6517,red
2338,498,1727,341,7457,2481,red
1323,4096,4414,1706,4336,3636,red
2338,498,1727,2046,7407,1986,red
3636,4336,1706,1727,498,2338,blue
1323,4096,4414,341,7457,2481,red
1986,2046,7407,3357,1796,2930,red
4265,876,696,1706,4336,3636,blue
498,1727,2338,573,1987,4391,red
2481,7457,341,3357,4682,2930,red
4265,2052,696,573,6517,4391,blue
1323,4096,4414,7407,2046,1986,red
3636,4336,1706,1727,498,2338,red
1986,2046,7407,573,1987,4391,red
