red_1,red_2,red_3,blue_1,blue_2,blue_3,win
9312,973,2075,422,1718,6377,red
1718,3653,1785,5883,4011,3339,blue
51,9092,1730,3753,2059,1025,red
166,51,1714,4499,2067,484,blue
359,2080,1732,4920,4293,281,blue
6045,5883,3506,1025,9152,16,blue
668,971,1718,1730,2075,9312,blue
1684,1676,3794,9092,2429,422,red
4624,4607,3653,6919,3753,1540,blue
88,28,2170,7748,4776,5050,blue
9068,1391,6146,2059,1785,8871,red
2359,5434,5654,3339,4276,4342,blue
1714,9176,1625,7460,166,973,blue
3794,973,484,1391,88,6045,red
281,6833,4635,9037,4499,4976,blue
1732,1425,16,484,217,9152,red
2067,7157,3175,4011,9312,2080,red
2832,3794,3506,1718,359,1802,blue
1339,51,6045,9213,668,2429,red
5431,4293,5883,533,1730,6377,blue
1296,1676,422,85,971,1025,red
7558,4920,2521,1684,2075,9092,red
2059,6919,88,166,2359,9176,red
3753,4624,4776,3339,281,1714,blue
3175,1684,971,6377,4976,1540,red
1540,28,7460,16,1785,484,blue
9152,2067,4276,1625,4499,6146,blue
9068,9037,2080,5434,1425,3794,blue
1732,2429,973,3175,4635,4011,blue
2170,4342,359,6045,9312,533,blue
3653,5431,1676,7157,9213,7748,red
3506,1391,1730,85,5050,1684,red
4607,2832,7558,4293,1339,971,blue
9092,1296,5883,2075,6833,51,blue
1718,422,6377,4920,8871,4976,red
2067,4920,4342,9152,4776,668,red
668,1025,1802,217,2521,5654,blue
1625,85,9037,5883,1732,2832,blue
4276,2429,1296,3653,16,166,red
5050,5654,1718,281,9213,9176,red
8871,422,6146,1339,7460,4011,blue
2359,359,9312,7748,4635,4624,red
51,3339,6919,3506,217,4293,red
1625,4624,533,5654,9068,2429,red
3753,484,2170,5431,7558,9068,blue
5434,3175,4976,28,6045,9092,red
6377,2080,1391,4776,1025,4342,red
7157,1540,1425,1714,973,668,blue
1676,2521,6833,9152,1730,1785,blue
971,2059,2067,1802,88,1684,blue
4499,4920,2075,3794,533,4607,red
5883,6146,166,9312,422,5654,red
7460,4276,4293,1296,3506,4624,blue
1339,9068,359,217,85,1718,blue
2359,1425,2170,4499,16,85,blue
16,3175,9037,3653,7558,51,blue
9176,2429,1391,2832,4976,5431,red
8871,1625,4776,1425,9092,4635,blue
6377,668,2359,1676,281,3753,blue
1785,88,1732,4342,1684,1714,red
1730,4499,1540,2080,7157,1802,red
484,4011,5434,533,7748,971,red
6919,4920,6045,2521,28,2059,red
973,9152,9213,2170,3794,2075,blue
5050,1025,6833,2067,4607,3339,blue
359,6146,5050,5431,9037,1296,red
166,1339,217,1391,3175,4624,blue
5654,3653,1425,7460,4976,359,red
16,5431,51,9312,8871,1676,red
668,9092,7558,3506,1732,4276,blue
4293,1802,1785,422,3753,1625,red
971,484,4776,9037,7157,2359,red
1730,85,7748,6146,9176,4920,red
3794,1296,2059,1540,4342,5883,blue
1714,2170,2429,6833,6377,4607,blue
4011,281,2075,88,9068,1025,red
9213,1732,2521,2832,166,9312,blue
2832,9213,1684,28,3339,4499,blue
2080,2521,9152,5050,973,533,blue
5434,6045,4635,2067,1718,6919,blue
5654,1339,1785,5431,3506,1425,blue
7157,4776,1391,51,1732,422,red
4976,4624,1676,7558,1802,6146,red
9176,9312,85,1540,4293,3794,red
4342,16,1730,4607,1625,3175,red
3753,217,6833,4276,88,4920,blue
3339,6377,2059,484,359,2075,blue
2075,1714,1802,4635,1339,4276,red
9092,1714,9037,2170,4011,9213,blue
6919,9152,5434,1296,668,2832,blue
1025,533,4499,973,1718,28,blue
971,5050,2359,2429,5883,8871,blue
4635,2080,2067,2521,7460,3653,blue
281,7748,9068,6045,166,1684,blue
1732,1802,3175,1425,6146,4607,red
4976,85,88,51,5654,7157,red
4276,16,3753,9176,359,422,blue
6833,1540,4011,1676,4776,1339,blue
7157,9176,8871,281,3506,5434,blue
4920,1296,9312,1625,1391,3339,red
6377,217,7558,9213,2059,5434,red
9037,4624,6919,8871,2075,973,blue
9092,2832,533,2359,1785,2067,blue
5050,5431,4499,6045,971,3653,blue
1025,4293,7748,9152,1714,9068,red
3506,28,4635,166,1730,3794,red
4342,1718,281,2429,484,2521,red
1684,5883,668,7460,2170,2080,red
4011,4607,3753,4976,5654,1296,blue
422,7748,7460,6833,7558,6919,blue
1540,51,88,6146,5434,1732,red
4776,9213,85,1802,6919,16,red
973,9037,6377,1785,4276,217,red
422,2832,7157,4624,5050,2059,red
533,3653,9176,1425,1025,1339,blue
359,4635,9152,1391,971,28,red
8871,7748,3339,3175,3794,2521,blue
2075,6045,1625,2080,2359,6833,red
2429,2067,281,7558,2170,1730,blue
9312,7460,4342,4499,9068,9092,red
217,1676,28,2080,4607,4293,blue
4293,668,166,1718,1684,5431,red
484,1714,3506,5883,1676,4920,red
1785,4976,5050,4776,6919,4276,red
88,1425,4011,4624,6377,2832,red
6146,533,217,4635,3753,7157,blue
4607,1540,5654,7748,9037,1391,red
28,8871,3653,1802,6833,9176,blue
2521,5434,1339,2059,1625,2170,blue
9068,1296,7460,3175,2359,9213,red
7558,3339,973,85,4342,5431,red
6377,1718,422,359,3339,2521,red
9312,973,2075,7157,1730,1540,red
6377,1718,422,16,51,88,red
1540,1730,7157,422,1718,6377,blue
9312,973,2075,4011,3506,971,red
88,51,16,359,3339,2521,red
1540,1730,7157,1684,7558,1339,red
4635,4499,3175,422,1718,6377,blue
971,3506,1391,359,3339,2521,blue
1339,7558,6045,3175,4499,4635,blue
9312,973,2075,16,51,88,red
1540,1730,7157,422,1718,6377,red
88,51,16,3175,4499,4635,red
